,prenom,genre,fréquence
938,aspen,0,0
939,assumpció,0,0
940,assumpta,0,0
941,assunta,0,0
942,asta,0,0.45
943,astaroth,0,0.10
944,astarte,0,0
945,astor,1,0.92
946,astra,0,0.25
947,astraea,0,0
948,astrid,0,0.19
949,astrithr,0,0
950,astrophel,1,0
951,asunción,0,0
952,asya,0,0
953,ata,1,0
954,atalanta,0,6.05
955,atallah,1,0.76
956,atara,0,0
957,atarah,0,0
958,ataullah,1,0
959,atefeh,0,0
960,athanas,1,0
961,athanasia,0,0
962,athanasios,1,0
963,athanasius,1,0
964,athelstan,1,0.03
965,athena,0,0
966,athenias,0,0
967,atieno,0,0
968,atílio,1,0
969,atilio,1,0
970,atiya,0,0
971,atlas,1,4.21
972,atticus,1,0.38
973,attila,1,1.40
974,attilio,1,0.03
975,auberon,1,0
976,aubree,0,0
977,aubrey,2,0.06
978,aude,0,6.31
979,audie,0,0
980,audley,1,0
981,audra,0,0
982,audra,0,0
983,audrea,0,0
984,audrey,0,0.16
985,august,1,0
986,august,1,0
987,augusta,0,0.22
988,auguste,1,20.36
989,augustijn,1,0
990,augustin,1,5.86
991,augustine,1,2.52
992,augusto,1,2.55
993,augusts,1,0
994,augustus,1,5.99
995,aukusti,1,0
996,aulay,1,0
997,aulus,1,0.03
998,aune,0,0.64
999,aura,0,110.10
1000,aurangzeb,1,0
1001,aurel,1,0.10
1002,aurèle,1,0.80
1003,aurelia,0,0
1004,aureliano,1,3.35
1005,aurélie,0,4.91
1006,aurelien,1,0
1007,aurelio,1,0.16
1008,aurelius,1,0
1009,aureole,0,0
1010,aurora,0,0.29
1011,aurore,0,11.02
1012,ausra,0,0
1013,austen,1,0.13
1014,austin,1,0.32
1015,austyn,2,0
1016,autumn,2,0.03
1017,ava,0,0
1018,ava,0,0
1019,avalon,0,0.03
1020,avdotya,0,0
1021,avedis,1,0
1022,avelina,0,0
1023,aveline,0,0.13
1024,averill,2,0
1025,avery,2,0.25
1026,avi,1,0
1027,avia,0,0
1028,avice,0,0.03
1029,avidan,1,0
1030,avila,0,0.73
1031,aviram,1,0
1032,avis,0,69.29
1033,avishai,1,0
1034,avitus,1,0
1035,aviv,1,0.45
1036,aviva,0,0.13
1037,avner,1,0
1038,avra,0,0
1039,avraham,1,0
1040,avram,1,2.99
1041,avril,0,28.83
1042,avrum,1,0
1043,awotwi,2,0
1044,awstin,1,0
1045,axel,1,0.61
1046,axelle,0,0
1047,aya,0,0
1048,ayala,0,0
1049,aydin,1,0
1050,ayelet,0,0
1051,ayesha,0,0
1052,aygül,0,0
1053,ayishah,0,0
1054,ayla,0,0
1055,ayla,0,0
1056,ayla,0,0
1057,aylmer,1,0
1058,ayn,0,0
1059,ayo,0,0
1060,ayomide,0,0
1061,aysel,0,0
1062,aysun,0,0
1063,azalea,0,0
1064,azarel,1,0
1065,azaria,1,0
1066,azariah,1,0
1067,azarias,1,0.03
1068,azeneth,0,0
1069,'aziz,1,0
1070,aziz,1,0.86
1071,azrael,1,0
1072,azubah,0,0
1073,azucena,0,0
1074,azuolas,1,0
1075,azura,0,0
1076,azure,0,0
1077,baako,2,0
1078,baal,1,0.41
1079,babajide,1,0
1080,babak,1,0
1081,babar,1,0.22
1082,babatunde,1,0
1083,baber,1,0
1084,babette,0,0.19
1085,babirye,0,0
1086,babs,0,0
1087,babur,1,0
1088,bacchus,1,0.89
1089,badr,2,0.03
1090,baha,1,0.03
1091,bahiga,0,0
1092,bahij,1,0
1093,bahija,0,0
1094,bahiyya,0,0
1095,bahman,1,0
1096,bahram,1,0
1097,bai,1,0.61
1098,baila,0,0
1099,bailee,0,0
1100,bailey,2,0.45
1101,báirbre,0,0
1102,bakr,1,0.03
1103,bala,2,0
1104,balázs,1,0
1105,baldassare,1,0
1106,balder,1,0
1107,baldev,1,0
1108,baldo,1,0
1109,baldomero,1,0
1110,baldric,1,0
1111,baldur,1,0.19
1112,baldwin,1,0.83
1113,balfour,1,0.22
1114,bálint,1,0
1115,baltasar,1,0.16
1116,baltazar,1,0
1117,balthasar,1,0
1118,balthazar,1,0.64
1119,bambi,0,0.25
1120,bandi,1,0.13
1121,banu,0,0
1122,bao,2,0
1123,bao,1,0
1124,baptist,1,0
1125,baptiste,1,4.81
1126,baqir,1,0
1127,barabal,0,0
1128,barak,1,0
1129,barakat,1,0
1130,barb,0,0
1131,bárbara,0,0
1132,barbara,0,3.41
1133,barbie,0,0.13
1134,barbora,0,0
1135,barbra,0,0
1136,barbro,0,0
1137,barclay,1,0.13
1138,baris,1,0.06
1139,barlaam,1,0
1140,barna,1,0.06
1141,barnabás,1,0
1142,barnabas,1,0.06
1143,barnabé,1,0.19
1144,barnaby,1,0
1145,barney,1,0.03
1146,barra,1,0.51
1147,barret,1,0
1148,barrett,1,0.32
1149,barrie,1,0
1150,barry,1,0.25
1151,bart,1,5.89
1152,bartal,1,0
1153,bartel,1,0
1154,barthélémy,1,0.19
1155,bartholomaus,1,0
